# BEAST v1.7.1, r4860
# Generated Wed Apr 25 17:37:51 BST 2012 [seed=1335371865762]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-181241.20997284848	832.9951048548334	-182074.20507770331	0.2	0.2	1.0	-182074.20507770331	831.3856669423992
1000	-140705.7387514979	-3090.936719438156	-137614.80203205976	0.7806222800307667	0.3085245127723882	1.0	-137614.80203205976	-3092.112673419016
2000	-93952.1307902384	-5983.123476588718	-87969.00731364968	36.87453077088625	14.95537066235658	1.0	-87969.00731364968	-5980.418406111764
3000	-86609.16616693634	-4766.939660685275	-81842.22650625107	291.0914222775313	345.72657686661637	1.0	-81842.22650625107	-4761.094012462891
4000	-84672.43080877751	-4642.86136322602	-80029.56944555149	629.7338854597514	302.4063152790927	1.0	-80029.56944555149	-4637.149591698074
5000	-83125.68886783562	-4571.3249936191	-78554.36387421652	465.76612568795247	270.7280487173337	1.0	-78554.36387421652	-4565.723878812341
6000	-81743.79537136064	-4521.289764664264	-77222.50560669637	780.6330022572607	227.02378730693334	1.0	-77222.50560669637	-4515.864709862374
7000	-80344.82734543885	-4479.497521317774	-75865.32982412109	252.7318810753873	231.48588273522773	1.0	-75865.32982412109	-4474.053002427812
8000	-79401.54676476947	-4460.05067584023	-74941.49608892924	268.54117886115665	211.58900116388776	1.0	-74941.49608892924	-4454.696030120974
9000	-78674.75949172581	-4438.168156894566	-74236.59133483125	504.74295234819397	207.4410961240881	1.0	-74236.59133483125	-4432.833309469296
10000	-77801.14593149563	-4423.997656491352	-73377.14827500428	362.3323300587697	205.35060975874808	1.0	-73377.14827500428	-4418.672937681591
11000	-77124.07861266646	-4416.962856560229	-72707.11575610623	209.95191934732475	215.262145298778	1.0	-72707.11575610623	-4411.590999994361
12000	-76431.64520380863	-4424.019979430625	-72007.625224378	154.05558965692705	198.54694971448046	1.0	-72007.625224378	-4418.728953835974
13000	-75759.55289755067	-4401.270813616375	-71358.2820839343	134.10948787839112	200.55737691097156	1.0	-71358.2820839343	-4395.969713241435
14000	-75213.04518394334	-4408.671866207631	-70804.3733177357	127.31097758258147	208.9407994239778	1.0	-70804.3733177357	-4403.329815252136
15000	-74606.0065448962	-4394.317201679359	-70211.68934321684	314.5401732032639	195.199794177086	1.0	-70211.68934321684	-4389.043178059801
