# BEAST v1.7.1, r4860
# Generated Thu Apr 26 10:03:19 BST 2012 [seed=1335430999204]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-179415.65229988587	805.7417212408933	-180221.39402112676	0.2	0.2	1.0	-180221.39402112676	804.1322833284592
1000	-110662.03477178316	-2756.3452237017855	-107905.68954808137	3.590032909035931	4.201048849825967	1.0	-107905.68954808137	-2754.9098894815234
2000	-87778.00250910218	-3835.842990636267	-83942.15951846591	29.909718978663843	86.28824789602487	1.0	-83942.15951846591	-3831.3852972247855
3000	-83500.94881687817	-4518.644551833261	-78982.3042650449	61.4478078598305	255.74304206123784	1.0	-78982.3042650449	-4513.1003786348165
4000	-81593.97680341429	-4465.39948205811	-77128.57732135618	222.1770021120938	222.6057750907556	1.0	-77128.57732135618	-4459.994079675801
5000	-80182.68555322818	-4446.0504883896365	-75736.63506483854	68.9912426317605	226.79870649646065	1.0	-75736.63506483854	-4440.626425521077
6000	-79027.37093139224	-4450.680394953167	-74576.69053643908	166.37480784707745	205.52764204147454	1.0	-74576.69053643908	-4445.354814417125
7000	-78115.7275648228	-4416.374256527573	-73699.35330829522	132.76936820216866	213.4916279871442	1.0	-73699.35330829522	-4411.010658908848
8000	-77274.13710658168	-4387.653596774181	-72886.4835098075	409.1417926045039	192.9987671316591	1.0	-72886.4835098075	-4382.390912973216
9000	-76479.55459335308	-4378.290214344889	-72101.2643790082	379.31343140266387	182.26651412971202	1.0	-72101.2643790082	-4373.084744365597
10000	-75871.79022704768	-4395.717758434261	-71476.07246861342	363.4494711479471	197.51495599412524	1.0	-71476.07246861342	-4390.431944126234
11000	-75381.16610319928	-4384.730787468928	-70996.43531573036	70.12441775844624	191.17502656698568	1.0	-70996.43531573036	-4379.477598091031
12000	-74920.26147607318	-4388.335385255958	-70531.92609081723	48.799095926740165	193.30478857918843	1.0	-70531.92609081723	-4383.071117097266
13000	-74474.44227030278	-4372.997558417561	-70101.44471188523	117.82211951240083	185.92945689137045	1.0	-70101.44471188523	-4367.772191079811
14000	-74075.49234291518	-4391.582586530168	-69683.90975638501	63.13357812553737	189.46800321783388	1.0	-69683.90975638501	-4386.338366368356
15000	-73700.5410756405	-4381.647167617085	-69318.89390802341	120.44740951751218	194.083853868681	1.0	-69318.89390802341	-4376.378877314973
