# BEAST v1.7.1, r4860
# Generated Wed Apr 25 18:32:34 UTC 2012 [seed=1335378742296]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-169292.20114186095	507.2997419771207	-169799.50088383807	0.2	0.2	1.0	-169799.50088383807	505.6903040646866
1000	-119194.46886723762	-1753.0659101899412	-117441.40295704769	2.577004344459223	4.114925227500834	1.0	-117441.40295704769	-1751.651289526694
2000	-93163.76434674312	-3123.9962873047734	-90039.76805943834	18.611681817969604	33.70760735759345	1.0	-90039.76805943834	-3120.478563755276
3000	-82763.51984332182	-4468.193705558776	-78295.32613776304	84.43344547820499	81.25047057190764	1.0	-78295.32613776304	-4463.796168945929
4000	-80615.2284676113	-4330.971164923766	-76284.25730268753	626.3797914515281	200.4989854950612	1.0	-76284.25730268753	-4325.670355736907
5000	-79079.71182031705	-4332.687939649181	-74747.02388066787	454.3835183251382	170.07254428306808	1.0	-74747.02388066787	-4327.551714572078
6000	-77936.09327954847	-4329.373203793085	-73606.72007575538	235.208287451365	188.10232511112812	1.0	-73606.72007575538	-4324.136217695817
7000	-77075.622510529	-4326.617565192552	-72749.00494533645	134.86395449097833	173.10792460394788	1.0	-72749.00494533645	-4321.4636499509215
8000	-76129.32210904323	-4336.102391845036	-71793.2197171982	106.75334535235844	182.64112259920506	1.0	-71793.2197171982	-4330.89486869632
9000	-75480.3338038656	-4315.041023730335	-71165.29278013526	142.58169859169277	189.00438879722802	1.0	-71165.29278013526	-4309.799253494395
10000	-74822.57269869636	-4330.104520241292	-70492.46817845506	184.59882862500518	188.91402450750263	1.0	-70492.46817845506	-4324.863228226515
11000	-74363.57048019605	-4334.981614817362	-70028.5888653787	106.14606168631246	184.01397887445475	1.0	-70028.5888653787	-4329.766603090496
12000	-73788.12807560012	-4332.6088748988	-69455.51920070132	83.71578700817295	179.9351391699677	1.0	-69455.51920070132	-4327.416278450793
13000	-73222.34176087046	-4339.677498690959	-68882.6642621795	199.61810981322355	186.64139593984873	1.0	-68882.6642621795	-4334.448309583956
14000	-72840.52704007342	-4348.305515575838	-68492.22152449758	256.61885220794017	174.67195662062966	1.0	-68492.22152449758	-4343.142605894648
15000	-72541.58782389687	-4365.253501566658	-68176.33432233022	286.1007529521696	200.11586257918742	1.0	-68176.33432233022	-4359.954605054951
16000	-72069.17393213134	-4331.047299502414	-67738.12663262892	546.4830753965945	179.5434821305156	1.0	-67738.12663262892	-4325.85688208354
17000	-71785.34904125154	-4352.735642751734	-67432.6133984998	220.0260188770416	188.11645666636994	1.0	-67432.6133984998	-4347.498581530332
18000	-71459.1168082583	-4349.669873412702	-67109.4469348456	152.61691735949356	188.41216217813948	1.0	-67109.4469348456	-4344.4312414975575
19000	-71147.63259050596	-4355.32452563391	-66792.30806487205	98.67446085298926	197.6592798422755	1.0	-66792.30806487205	-4350.037980894384
20000	-70982.77523817279	-4366.149159838853	-66616.62607833394	468.600143796333	193.81675120378765	1.0	-66616.62607833394	-4360.882246707612
21000	-70757.61692398941	-4359.213766938944	-66398.40315705046	246.5843633651502	184.78266797651014	1.0	-66398.40315705046	-4353.994586572141
22000	-70524.75408349908	-4350.293355393923	-66174.46072810516	131.58948113310072	191.60167575896153	1.0	-66174.46072810516	-4345.037936782292
23000	-70241.26774636425	-4363.343049329317	-65877.92469703493	537.9231725629464	192.57694120035708	1.0	-65877.92469703493	-4358.082553560898
24000	-69970.2338928312	-4364.197815736444	-65606.03607709474	163.6933678994644	187.11004853489825	1.0	-65606.03607709474	-4358.966118797845
25000	-69737.13825750812	-4353.930044400536	-65383.20821310759	169.32396102091917	198.3533388003069	1.0	-65383.20821310759	-4348.639994420844
26000	-69596.81134679168	-4356.1751814160825	-65240.6361653756	226.7467319227485	191.69195453138389	1.0	-65240.6361653756	-4350.919291735971
27000	-69388.35655121936	-4368.265183894936	-65020.09136732442	200.85132221339526	198.47331209995616	1.0	-65020.09136732442	-4362.974529251706
28000	-69164.11675948068	-4354.778680099999	-64809.33807938068	48.89002202092244	202.0354227359835	1.0	-64809.33807938068	-4349.4702370578925
29000	-68981.15964240063	-4364.956570762792	-64616.20307163784	56.28601407002765	195.24988375003628	1.0	-64616.20307163784	-4359.682290569463
30000	-68735.21806150574	-4366.312361560905	-64368.905699944844	152.10615125766418	184.13340634909807	1.0	-64368.905699944844	-4361.096701031501
31000	-68561.31887785881	-4369.636385880076	-64191.68249197873	93.65266275810356	193.74902320822912	1.0	-64191.68249197873	-4364.369822253361
32000	-68291.43348146259	-4361.96158827228	-63929.471893190304	61.355353529902274	192.4185348855169	1.0	-63929.471893190304	-4356.701915403524
33000	-68140.33483628748	-4362.566675386958	-63777.76816090052	54.032887953938044	192.2403353593271	1.0	-63777.76816090052	-4357.307929051049
34000	-68001.44168615915	-4361.276943522083	-63640.16474263706	87.83529868486967	200.38652238049175	1.0	-63640.16474263706	-4355.976695408724
35000	-67880.73871093326	-4370.330998598898	-63510.40771233436	68.01063716383565	199.517211569425	1.0	-63510.40771233436	-4365.035098092759
36000	-67757.2732132492	-4370.899136857538	-63386.37407639166	397.2991521260515	199.18063759206976	1.0	-63386.37407639166	-4365.604924717954
37000	-67626.77141708056	-4363.990109298856	-63262.781307781705	142.49119642504655	191.89197718741596	1.0	-63262.781307781705	-4358.733176703973
38000	-67505.66753029973	-4373.589941441193	-63132.07758885854	114.09179696261457	190.27222322392183	1.0	-63132.07758885854	-4368.341485640635
39000	-67356.91308856675	-4343.122490432442	-63013.790598134314	74.35952678897401	183.57926541781438	1.0	-63013.790598134314	-4337.909843894087
40000	-67216.21986567008	-4354.673697729603	-62861.54616794047	46.56414426554025	178.27847317031356	1.0	-62861.54616794047	-4349.4903509457845
41000	-67147.56863756012	-4371.505818284961	-62776.06281927516	73.16461461941691	205.64791993287878	1.0	-62776.06281927516	-4366.179652704934
42000	-67010.93391910929	-4357.293021333114	-62653.640897776175	63.80771719507908	199.03719183761956	1.0	-62653.640897776175	-4351.999529632195
43000	-66863.89791200357	-4372.473512206591	-62491.424399796975	251.74220971291552	178.54855934011408	1.0	-62491.424399796975	-4367.288651601247
44000	-66708.15188644298	-4347.155759690955	-62360.99612675203	88.14448963610451	193.66598799439004	1.0	-62360.99612675203	-4341.88962472711
45000	-66625.6567839182	-4369.244999579548	-62256.41178433865	274.72522782610685	193.975877886711	1.0	-62256.41178433865	-4363.9772657690055
46000	-66447.84924972533	-4358.321353837553	-62089.52789588778	130.6485461002578	194.1816221486856	1.0	-62089.52789588778	-4353.052559919805
47000	-66330.738615648	-4352.069436507473	-61978.66917914053	111.71575761578383	190.07790212268856	1.0	-61978.66917914053	-4346.822002508173
48000	-66219.96930065344	-4356.051987161451	-61863.917313491984	152.9857492930659	201.8753286172771	1.0	-61863.917313491984	-4350.74433683965
49000	-66079.71529313106	-4352.636944896632	-61727.07834823442	196.117229446673	192.90105347442173	1.0	-61727.07834823442	-4347.374767515488
50000	-65974.48760064066	-4352.129264808155	-61622.358335832505	162.49986160270598	196.50560062366512	1.0	-61622.358335832505	-4346.848573875351
51000	-65852.58787011499	-4349.86572963829	-61502.722140476704	182.72670714896867	194.02917191797755	1.0	-61502.722140476704	-4344.59772111982
52000	-65754.38054071764	-4350.836667727952	-61403.543872989685	410.06055078549144	193.13376503403717	1.0	-61403.543872989685	-4345.57328469604
53000	-65661.87855891927	-4350.927510768324	-61310.95104815094	550.523361655056	178.6356051109053	1.0	-61310.95104815094	-4345.7421627630265
54000	-65580.01086020692	-4337.53421391358	-61242.47664629335	60.85424743893512	186.1996658284109	1.0	-61242.47664629335	-4332.30739434343
55000	-65396.944997626924	-4335.576753284866	-61061.36824434206	37.96874477097207	176.69528906049902	1.0	-61061.36824434206	-4330.402326566561
56000	-65269.493819815885	-4325.507563101814	-60943.98625671407	87.92613693563526	173.60565033480123	1.0	-60943.98625671407	-4320.350776752106
57000	-65188.32385201683	-4331.986529041161	-60856.33732297567	320.5368536990506	181.90870862714604	1.0	-60856.33732297567	-4326.783024080878
58000	-65077.89962422685	-4332.539985941201	-60745.35963828565	283.6575636611456	172.16009449361476	1.0	-60745.35963828565	-4327.391561115357
59000	-64969.93561639174	-4330.5675054283065	-60639.368110963434	192.7191505401523	170.5607365710752	1.0	-60639.368110963434	-4325.428413968793
60000	-64803.696480794686	-4328.081115863934	-60475.61536493075	249.08700699776946	184.75659197749167	1.0	-60475.61536493075	-4322.862076624215
61000	-64668.614494307214	-4301.312562887858	-60367.30193141936	104.64556155035739	176.4636029073698	1.0	-60367.30193141936	-4296.139448248572
62000	-64543.42232347655	-4313.297611958457	-60230.124711518096	161.64152305926544	181.1837339240744	1.0	-60230.124711518096	-4308.098100337509
63000	-64448.01326253036	-4313.042229923153	-60134.97103260721	99.6228758208118	181.06883459340918	1.0	-60134.97103260721	-4307.843352662562
64000	-64366.40342278011	-4298.217365197432	-60068.18605758268	312.00629663232843	180.83108230921778	1.0	-60068.18605758268	-4293.019801848823
65000	-64335.076468017134	-4311.471310025084	-60023.60515799205	388.5282630292729	178.574311173205	1.0	-60023.60515799205	-4306.286305201403
66000	-64258.974658575185	-4304.492603156655	-59954.48205541853	83.46197033037414	175.67000703109764	1.0	-59954.48205541853	-4299.323995881605
